product_name,original_price,current_price,product_url,extraction-date
Esmeril De Bancada 300w 6'' Schulz,289,219.90,https://produto.mercadolivre.com.br/MLB-1005553786-esmeril-de-bancada-300w-6-schulz-_JM?hide_psmb=true#reco_item_pos=21&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Furadeira Parafusadeira Imp 21v 3/8 5500 Titanium + Jg Broca,329,269.90,https://produto.mercadolivre.com.br/MLB-1537559475-furadeira-parafusadeira-imp-21v-38-5500-titanium-jg-broca-_JM?hide_psmb=true#reco_item_pos=22&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Kit Com 12 Cuecas Boxer Microfibra Cores Sortidas Polo Wear,130,98,https://produto.mercadolivre.com.br/MLB-1812088724-kit-com-12-cuecas-boxer-microfibra-cores-sortidas-polo-wear-_JM?hide_psmb=true#reco_item_pos=23&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
3 Luminárias Pendentes Cone Canadá Sala Cozinha Churrasqueir,139,123.18,https://produto.mercadolivre.com.br/MLB-1825430765-3-luminarias-pendentes-cone-canada-sala-cozinha-churrasqueir-_JM?variation=80433305863&hide_psmb=true#reco_item_pos=24&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
"Ventilador De Mesa E Parede Mondial V-40 Preto Com 6 Pás De  Plástico, 40 cm De Diâmetro 220 v",164,155.80,https://produto.mercadolivre.com.br/MLB-2115497554-ventilador-de-mesa-e-parede-mondial-v-40-preto-com-6-pas-de-plastico-40cm-de-dimetro-220v-_JM?hide_psmb=true#reco_item_pos=25&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
"Kit C/ 9 Toalha De Banho Gigante 80 X 1,50 Atacado + Brinde",189,180.40,https://produto.mercadolivre.com.br/MLB-1099219230-kit-c-9-toalha-de-banho-gigante-80-x-150-atacado-brinde-_JM?variation=86432932513&hide_psmb=true#reco_item_pos=26&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Massageador Elétrico Profissional Pistola Relaxmedic,1090,899,https://produto.mercadolivre.com.br/MLB-1435623276-massageador-eletrico-profissional-pistola-relaxmedic-_JM?hide_psmb=true#reco_item_pos=27&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Motobomba Para Piscina 3/4cv Sodramar Até 78 Mil Litros ,999,939.06,https://produto.mercadolivre.com.br/MLB-2092069276-motobomba-para-piscina-34cv-sodramar-ate-78-mil-litros-_JM?variation=173930594993&hide_psmb=true#reco_item_pos=28&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Meias Masculino Kit 12 Pares Esportes Atacado Revenda Oferta,34,31.06,https://produto.mercadolivre.com.br/MLB-1269318216-meias-masculino-kit-12-pares-esportes-atacado-revenda-oferta-_JM?hide_psmb=true#reco_item_pos=29&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Máscara Fiber Knit Sport,56,51.21,https://produto.mercadolivre.com.br/MLB-1965318176-mascara-fiber-knit-sport-_JM?hide_psmb=true#reco_item_pos=30&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
